FAQ questions,FAQ answers,modifiert question,type change
Warum muss ich ein Foto hinterlegen und freischalten lassen?,"Die digitale Karte bei METRO unterscheidet sich von Plastikkarten anderer Anbieter. Als Großhandels-B2B-Unternehmen sind wir verpflichtet, die Identität zu überprüfen. Dies findet beim Kassenvorgang statt. Für alle Kunden mit Kredit-Funktion muss dieses Bild aus Sicherheitsgründen vorab geprüft und freigeschaltet werden. Es handelt sich dabei auch um eine Sicherheitsmaßnahme, die dazu dient, den Missbrauch der Karte und der hinterlegten Funktionen zu vermeiden und Dich als Kunde zu schützen.","Was ist der Grund, warum ich ein Foto hinterlegen und es freischalten lassen muss?",synonym
Warum muss ich ein Foto hinterlegen und freischalten lassen?,"Die digitale Karte bei METRO unterscheidet sich von Plastikkarten anderer Anbieter. Als Großhandels-B2B-Unternehmen sind wir verpflichtet, die Identität zu überprüfen. Dies findet beim Kassenvorgang statt. Für alle Kunden mit Kredit-Funktion muss dieses Bild aus Sicherheitsgründen vorab geprüft und freigeschaltet werden. Es handelt sich dabei auch um eine Sicherheitsmaßnahme, die dazu dient, den Missbrauch der Karte und der hinterlegten Funktionen zu vermeiden und Dich als Kunde zu schützen.","Warum ist es notwendig, ein Foto hinterlegt zu lassen und es dann freizuschalten?",synonym
Kann ich auch andere Karten-Apps nutzen wie Sto-Card oder Google Pay?,"Es gibt fremde App-Anbieter, die eine Karten-Upload-Funktion in Deinen Apps anbieten. Diese Karten-Apps sind zwar praktisch, dürfen bei METRO jedoch nicht akzeptiert werden, da in diesen Apps keine Fotoprüfung stattfinden kann. Als Großhändler sind wir verpflichtet, die Identität unserer Kunden mit Lichtbild zu überprüfen. Daher sind nur die METRO App (METRO Companion) sowie die Plastikkarte beim Bezahlvorgang erlaubt.",'Kann ich alternative Karten-Apps wie Sto-Card oder Google Pay verwenden?',synonym
Kann ich auch andere Karten-Apps nutzen wie Sto-Card oder Google Pay?,"Es gibt fremde App-Anbieter, die eine Karten-Upload-Funktion in Deinen Apps anbieten. Diese Karten-Apps sind zwar praktisch, dürfen bei METRO jedoch nicht akzeptiert werden, da in diesen Apps keine Fotoprüfung stattfinden kann. Als Großhändler sind wir verpflichtet, die Identität unserer Kunden mit Lichtbild zu überprüfen. Daher sind nur die METRO App (METRO Companion) sowie die Plastikkarte beim Bezahlvorgang erlaubt.",'Sind Sto-Card und Google Pay die einzigen Optionen für die Nutzung von Karten-Apps?',synonym
Kann ich eine einmalige Bestellung liefern lassen?,"Unser Lieferservice ist nicht für Einzelbestellungen gedacht.  Falls Du noch kein Lieferkunde bist, kannst Du Dich hier registrieren.",Liefere ich eine einmalige Bestellung?,synonym
Kann ich eine einmalige Bestellung liefern lassen?,"Unser Lieferservice ist nicht für Einzelbestellungen gedacht.  Falls Du noch kein Lieferkunde bist, kannst Du Dich hier registrieren.",Kann ich eine Bestellung für einen Kunden liefern lassen?,synonym
"Was tue ich, wenn bei der Anmeldung (Login) Schwierigkeiten auftreten?","Bitte überprüfe nochmals Deine Eingaben. Bei Problemen bei der Anmeldung kannst Du gegebenenfalls selbst Dein Passwort zurücksetzen oder Dir Deinen Benutzernamen erneut zusenden lassen.  Sollte die Anmeldung dennoch nicht gelingen, wende Dich über das Kontaktformular, per Mail oder telefonisch an unseren Kundensupport.","Wie verhalte ich mich, wenn ich beim Einloggen Probleme habe?",synonym
"Was tue ich, wenn bei der Anmeldung (Login) Schwierigkeiten auftreten?","Bitte überprüfe nochmals Deine Eingaben. Bei Problemen bei der Anmeldung kannst Du gegebenenfalls selbst Dein Passwort zurücksetzen oder Dir Deinen Benutzernamen erneut zusenden lassen.  Sollte die Anmeldung dennoch nicht gelingen, wende Dich über das Kontaktformular, per Mail oder telefonisch an unseren Kundensupport.","Was passiert, wenn ich beim Login Schwierigkeiten erlebe?",synonym
Wer darf die App installieren?,"Im Prinzip kann sich jeder die App installieren. Viele Funktionen wie z.B. die digitale Karte sind jedoch für unsere Kunden vorbehalten und erst nutzbar, wenn sie sich mit ihrem myMETRO-Daten eingeloggt haben. Dazu benötigen sie einen Account, den sie sich auch direkt in der App einrichten können.",Wer hat Zugang zur App-Installation?,synonym
Wer darf die App installieren?,"Im Prinzip kann sich jeder die App installieren. Viele Funktionen wie z.B. die digitale Karte sind jedoch für unsere Kunden vorbehalten und erst nutzbar, wenn sie sich mit ihrem myMETRO-Daten eingeloggt haben. Dazu benötigen sie einen Account, den sie sich auch direkt in der App einrichten können.",Wer darf die App auf seinem Gerät installieren?,synonym
Welche Möglichkeiten habe ich andere für mich einkaufen zu lassen?,Du hast verschiedene Möglichkeiten Einkaufsvollmachten für Mitarbeiter oder andere Personen auszustellen:    Einmalige Papiervollmacht   Temporäre digitale Vollmacht  Dauerhafte digitale Vollmacht  Dauerhafte Einkaufsberechtigung    Ausführliche Informationen findest Du hier.,"Was sind die Möglichkeiten, andere Leute für mich einzukaufen lassen?",synonym
Welche Möglichkeiten habe ich andere für mich einkaufen zu lassen?,Du hast verschiedene Möglichkeiten Einkaufsvollmachten für Mitarbeiter oder andere Personen auszustellen:    Einmalige Papiervollmacht   Temporäre digitale Vollmacht  Dauerhafte digitale Vollmacht  Dauerhafte Einkaufsberechtigung    Ausführliche Informationen findest Du hier.,"Wie kann ich andere Personen beauftragen, für mich einzukaufen zu gehen?",synonym
Welcher Unterschied besteht zwischen digitaler Karte und Plastikkarte?,Im Prinzip keiner. Die digitale Karte ist eine Kopie der Plastikkarte mit denselben Funktionen.,Welche Hauptunterschiede bestehen zwischen digitalen und physischen Karten?,synonym
Welcher Unterschied besteht zwischen digitaler Karte und Plastikkarte?,Im Prinzip keiner. Die digitale Karte ist eine Kopie der Plastikkarte mit denselben Funktionen.,Wie unterscheidet sich eine digitale Karte von einer herkömmlichen Plastikkarte?,synonym
"Was passiert, wenn ich mein METRO-Umsatzziel für die Pentagast Subvention erreiche?","Super! Wenn Du Dein vereinbartes Umsatzziel vollständig erreichst, ist die Subvention „verdient“ – Du musst nichts zurückzahlen.","Was ist der Ausgangspunkt, wenn ich mein METRO-Umsatzziel für die Pentagast Subvention erreiche?",synonym
"Was passiert, wenn ich mein METRO-Umsatzziel für die Pentagast Subvention erreiche?","Super! Wenn Du Dein vereinbartes Umsatzziel vollständig erreichst, ist die Subvention „verdient“ – Du musst nichts zurückzahlen.","Was geschieht, wenn ich mein Umsatzziel für die Pentagast-Subvention bei METRO erreiche?",synonym
"Ich möchte wöchentlich über Angebote informiert werden, kann aber kein METRO Chat empfangen. Gibt es andere Kanäle?","Du kannst alternativ unseren Newsletter abonnieren oder unsere METRO App installieren. Dort wirst Du wöchentlich über neue Angebote, Aktionen und Events informiert. ","Gibt es alternative Möglichkeiten, wöchentliche Angebote von METRO zu erhalten, da ich kein METRO Chat empfangen kann?",synonym
"Ich möchte wöchentlich über Angebote informiert werden, kann aber kein METRO Chat empfangen. Gibt es andere Kanäle?","Du kannst alternativ unseren Newsletter abonnieren oder unsere METRO App installieren. Dort wirst Du wöchentlich über neue Angebote, Aktionen und Events informiert. ","Wie kann ich wöchentlich über Angebote informiert werden, wenn ich kein METRO Chat empfangen kann?",synonym
Wer ist mein Ansprechpartner bei Fragen zum Thema Pentagast?,Bei Fragen hilft Dir Dein Kundenmanager vor Ort gerne weiter. Du kannst Dich auch jederzeit über unser Kontaktformular melden – wir sind für Dich da!,Wer kann ich bei Fragen zu Pentagast erreichen?,synonym
Wer ist mein Ansprechpartner bei Fragen zum Thema Pentagast?,Bei Fragen hilft Dir Dein Kundenmanager vor Ort gerne weiter. Du kannst Dich auch jederzeit über unser Kontaktformular melden – wir sind für Dich da!,Wer ist mein Ansprechpartner für Pentagast-Support?,synonym
Wie muss ich meine Kartennummer für die METRO Chat Anmeldung angeben?,Schicke uns einfach ein Foto Deiner Kundenkarte oder einen Screenshot Deiner digitalen Kundenkarte.,Wie wird die Kartennummer für die METRO Chat Anmeldung eingegeben?,synonym
Wie muss ich meine Kartennummer für die METRO Chat Anmeldung angeben?,Schicke uns einfach ein Foto Deiner Kundenkarte oder einen Screenshot Deiner digitalen Kundenkarte.,Wie gebe ich meine Kartennummer für die METRO Chat Anmeldung ein?,synonym
Welche Vorteile bringt mir der METRO Chat?,"Durch das Anmelden bei METRO Chat, kannst Du Dich auf die neuen Wochenangebote, spannende Events, tolle Aktionen, sowie Gewinnspiele freuen.","Was sind die Vorteile, die ich beim Verwenden des METRO Chat erwarten kann?",synonym
Welche Vorteile bringt mir der METRO Chat?,"Durch das Anmelden bei METRO Chat, kannst Du Dich auf die neuen Wochenangebote, spannende Events, tolle Aktionen, sowie Gewinnspiele freuen.",Welche Vorteile bietet der METRO Chat für mich als Nutzer?,synonym
Welche Services gibt es für Gastronomen?,"Für die Gastronomie und die Unternehmen aus der Dienstleistungsbranche dreht sich die Welt immer schneller: Gäste und Kunden werden anspruchsvoller, erwarten immer mehr Qualität und Flexibilität. Mit unserem durchdachten Sortiment, aber auch mit einer Vielzahl an Services wollen wir Dich und Dein Unternehmen unterstützen.    Wochenangebote und Monatsmenü für Gastronomen   Gastro-Tage mit exklusiven Angeboten  Pentagast: Beim gemeinsamen Angebot von METRO Deutschland und PENTAGAST ist der Name Programm: SMART & EASY – hochwertige Küchentechnik, unkompliziert und passgenau für die Gastronomie. Du profitierst als Gastronom von hochwertigen Profi-Küchengeräten zu Top-Konditionen – inklusive Beratung, Lieferung und Service aus einer Hand.  Trotec Luftreiniger: Optimiere jetzt Dein Hygienekonzept! Die hygienische und wirtschaftlich attraktive Lösung für Gastronomen: Als exklusiver Vertriebspartner für die Gastronomie bieten wir in Kooperation mit PENTAGAST und TROTEC mit der professionellen Hochfrequenz-Luftreinigung mehr Schutz für Deinen Gastraum und unterstützen Dich mit allen Kräften, Dein Geschäft erfolgreich anzukurbeln.  Menükarten-Vorlagen: Die Gastronomie lebt von Vielfalt und die findet sich auch in der Speisekarte wieder. Daher bieten wirdie Möglichkeit Menükarten-Vorlagen für verschiedene Restaurant-Typen, diverse Themen und Anlässe herunterzuladen.  Gastro-Coaching by DISH: Unsere erfahrenen Gastro-Berater unterstützen dich bei allen Fragen - von der Existenzgründung, über die Optimierung des laufenden Geschäfts und vieles mehr!  Gastro-Impulse Webinare: Die Gastronomie ist die schönste und vielfältigste Branche, zum einen, weil wir durch fachliche und soziale Kompetenz und herausragender Qualität begeistern können und zum anderen, weil wir den Mensch in den Mittelpunkt unseres Handelns stellen.",Welche Angebote und Dienstleistungen stehen für Gastronomiebetriebe zur Verfügung?,synonym
Welche Services gibt es für Gastronomen?,"Für die Gastronomie und die Unternehmen aus der Dienstleistungsbranche dreht sich die Welt immer schneller: Gäste und Kunden werden anspruchsvoller, erwarten immer mehr Qualität und Flexibilität. Mit unserem durchdachten Sortiment, aber auch mit einer Vielzahl an Services wollen wir Dich und Dein Unternehmen unterstützen.    Wochenangebote und Monatsmenü für Gastronomen   Gastro-Tage mit exklusiven Angeboten  Pentagast: Beim gemeinsamen Angebot von METRO Deutschland und PENTAGAST ist der Name Programm: SMART & EASY – hochwertige Küchentechnik, unkompliziert und passgenau für die Gastronomie. Du profitierst als Gastronom von hochwertigen Profi-Küchengeräten zu Top-Konditionen – inklusive Beratung, Lieferung und Service aus einer Hand.  Trotec Luftreiniger: Optimiere jetzt Dein Hygienekonzept! Die hygienische und wirtschaftlich attraktive Lösung für Gastronomen: Als exklusiver Vertriebspartner für die Gastronomie bieten wir in Kooperation mit PENTAGAST und TROTEC mit der professionellen Hochfrequenz-Luftreinigung mehr Schutz für Deinen Gastraum und unterstützen Dich mit allen Kräften, Dein Geschäft erfolgreich anzukurbeln.  Menükarten-Vorlagen: Die Gastronomie lebt von Vielfalt und die findet sich auch in der Speisekarte wieder. Daher bieten wirdie Möglichkeit Menükarten-Vorlagen für verschiedene Restaurant-Typen, diverse Themen und Anlässe herunterzuladen.  Gastro-Coaching by DISH: Unsere erfahrenen Gastro-Berater unterstützen dich bei allen Fragen - von der Existenzgründung, über die Optimierung des laufenden Geschäfts und vieles mehr!  Gastro-Impulse Webinare: Die Gastronomie ist die schönste und vielfältigste Branche, zum einen, weil wir durch fachliche und soziale Kompetenz und herausragender Qualität begeistern können und zum anderen, weil wir den Mensch in den Mittelpunkt unseres Handelns stellen.","Welche Möglichkeiten gibt es für Gastronomen, um ihre Geschäfte zu unterstützen?",synonym
Wie kann ich den Newsletter abbestellen?,"Möglichkeit 1  Nachdem Du Dich in myMETRO angemeldet hast, klicke links im Menü auf Newsletter & Marketingerlaubnis. Dort kannst Du den Newsletter abbestellen, indem Du den Haken bei E-Mail herausnimmst. Danach klicke auf Änderung speichern.      Möglichkeit 2  Nutze im Newsletter den Link ""Newsletter Abbestellen"", den Du im unteren Drittel jedes Newsletters findest.     Möglichkeit 3  Melde Dich bei uns: www.metro.de/kontakt",Wie kann ich mich von eurem Newsletter abmelden?,synonym
Wie kann ich den Newsletter abbestellen?,"Möglichkeit 1  Nachdem Du Dich in myMETRO angemeldet hast, klicke links im Menü auf Newsletter & Marketingerlaubnis. Dort kannst Du den Newsletter abbestellen, indem Du den Haken bei E-Mail herausnimmst. Danach klicke auf Änderung speichern.      Möglichkeit 2  Nutze im Newsletter den Link ""Newsletter Abbestellen"", den Du im unteren Drittel jedes Newsletters findest.     Möglichkeit 3  Melde Dich bei uns: www.metro.de/kontakt","Wie kann ich den Newsletter abbestellen, um keine E-Mails mehr zu erhalten?",synonym
Gibt es eine ausführliche FAQ Seite nur für DISH Produkte?,"Ja, die gibt es. Klicke auf folgenden Link und du kommst auf die DISH FAQ Seite: https://support.dish.co/de_DE",Gibt es eine umfangreiche FAQ-Seite nur für DISH-Produkte?,synonym
Gibt es eine ausführliche FAQ Seite nur für DISH Produkte?,"Ja, die gibt es. Klicke auf folgenden Link und du kommst auf die DISH FAQ Seite: https://support.dish.co/de_DE",Kann ich als DISH-Kunde eine detaillierte FAQ-Seite finden?,synonym
Wie kann ich mich wieder vom METRO Chat abmelden?,"Du kannst Dich jederzeit abmelden, indem Du „STOP“ sendest.  ",Wie kann ich mich vom METRO-Chat wieder abmelden?,synonym
Wie kann ich mich wieder vom METRO Chat abmelden?,"Du kannst Dich jederzeit abmelden, indem Du „STOP“ sendest.  ",Wie gehe ich mit dem METRO-Chat wieder von Bord?,synonym
Welche Prospekte kann ich mir in der App ansehen?,"Alle Prospekte, die für den Markt gültig sind, den Du ausgewählt hast. Du kannst den Markt auch ganz einfach wechseln, falls Du mal woanders einkaufen möchtest. Sichtbar sind die aktuellen Prospekte der aktuellen Woche sowie im Reiter „Demnächst“ die zukünftigen Prospekte.     Warum muss ich einen Markt auswählen? Nicht jedes Prospekt und dessen Angebote sind deutschlandweit gültig. Daher ist eine Marktauswahl erforderlich, sodass Du die Prospekte siehst, die für Deinen Markt gültig sind. Falls Du mal woanders einkaufen möchtest, kannst Du jederzeit den Markt wieder wechseln. Dies hat keine Auswirkungen auf die Kunden- oder Kartendaten, da es sich nur auf die Anzeige der Prospekte und die Verfügbarkeit der Artikel in der App auswirkt.",Was kann ich in der App über meine Projekte sehen?,synonym
Welche Prospekte kann ich mir in der App ansehen?,"Alle Prospekte, die für den Markt gültig sind, den Du ausgewählt hast. Du kannst den Markt auch ganz einfach wechseln, falls Du mal woanders einkaufen möchtest. Sichtbar sind die aktuellen Prospekte der aktuellen Woche sowie im Reiter „Demnächst“ die zukünftigen Prospekte.     Warum muss ich einen Markt auswählen? Nicht jedes Prospekt und dessen Angebote sind deutschlandweit gültig. Daher ist eine Marktauswahl erforderlich, sodass Du die Prospekte siehst, die für Deinen Markt gültig sind. Falls Du mal woanders einkaufen möchtest, kannst Du jederzeit den Markt wieder wechseln. Dies hat keine Auswirkungen auf die Kunden- oder Kartendaten, da es sich nur auf die Anzeige der Prospekte und die Verfügbarkeit der Artikel in der App auswirkt.",Wie kann ich die Details meiner Projekte in der App einsehen?,synonym
Wie kann ich meine Bestellung verfolgen?,Du kannst Deine Bestellung ganz einfach im M.Shop unter „Meine Bestellungen“ verfolgen.  Alternativ geht das auch über die METRO App – hier herunterladen.,Wie kann ich die Status meiner Bestellung abfragen?,synonym
Wie kann ich meine Bestellung verfolgen?,Du kannst Deine Bestellung ganz einfach im M.Shop unter „Meine Bestellungen“ verfolgen.  Alternativ geht das auch über die METRO App – hier herunterladen.,Wie kann ich mein Bestellstatus überprüfen?,synonym
Wie kann ich meine Mobilfunknummer ändern?,"Nachdem Du Dich angemeldet hast, klicke oben rechts auf Deinen Namen und dann auf ""Dein Profil"".  Dort kannst Du Deine Mobilfunknummer ändern. Danach klicke auf das Feld Änderungen speichern.","Wie gehe ich vor, um meine Mobilfunknummer zu ändern?",synonym
Wie kann ich meine Mobilfunknummer ändern?,"Nachdem Du Dich angemeldet hast, klicke oben rechts auf Deinen Namen und dann auf ""Dein Profil"".  Dort kannst Du Deine Mobilfunknummer ändern. Danach klicke auf das Feld Änderungen speichern.","Welche Schritte müssen ich unternehmen, um meine Telefonnummer zu ändern?",synonym
Welche Betriebssysteme werden unterstützt?,"Die App wird für iPhones und Android-Systeme entwickelt. Einwandfrei funktioniert die App ab Android 6 und ab iOS 10 für Smartphones mit einer Bildschirmgröße von 4‘‘ bis 5,8‘‘. Die App wird nicht für Tablet-Geräte optimiert.",Welche Betriebssysteme sind von der Software unterstützt?,synonym
Welche Betriebssysteme werden unterstützt?,"Die App wird für iPhones und Android-Systeme entwickelt. Einwandfrei funktioniert die App ab Android 6 und ab iOS 10 für Smartphones mit einer Bildschirmgröße von 4‘‘ bis 5,8‘‘. Die App wird nicht für Tablet-Geräte optimiert.",Welche Betriebssysteme sind kompatibel mit dieser Anwendung?,synonym
Wie kann mein Team auch mit einer METRO Karte einkaufen?,"Du kannst Mitarbeitende über Dein digitales Profil hinzufügen und ihnen Berechtigungen erteilen.   Falls Du noch kein Profil hast, registriere Dich hier und füge Deine METRO Karte hinzu.     Wenn Du bereits ein Profil hast, kannst Du Teammitglieder und Berechtigungen hier verwalten.",Wie können meine Teammitglieder mit einer METRO-Karte einkaufen?,synonym
Wie kann mein Team auch mit einer METRO Karte einkaufen?,"Du kannst Mitarbeitende über Dein digitales Profil hinzufügen und ihnen Berechtigungen erteilen.   Falls Du noch kein Profil hast, registriere Dich hier und füge Deine METRO Karte hinzu.     Wenn Du bereits ein Profil hast, kannst Du Teammitglieder und Berechtigungen hier verwalten.",Wie kann man mit einer METRO-Karte im Team einkaufen?,synonym
"Was tue ich, wenn bei der Registrierung Schwierigkeiten auftreten?","Bitte überprüfe nochmals Deine Angaben. Achte dabei auf die korrekte Schreibweise, merke Dir die Groß- und Kleinbuchstaben!  Folgende Zeichen sind beim Passwort erlaubt: A-Z, a-z, 0-9 und @!?_#ACHTUNG: Die E-Mail-Adresse darf nur einmal verwendet werden!  Haben mehrere Einkaufsberechtigte die gleiche E-Mail-Adresse, dann muss der zweite, der sich registriert, eine andere E-Mail-Adresse eingeben! Gleiches gilt auch für den Benutzernamen, mit dem Du Dich registrierst!  Sollte die Registrierung dennoch nicht gelingen, wende Dich bitte über das Kontaktformular, per Mail oder telefonisch an unseren Kundensupport.","Was passiert, wenn ich bei der Registrierung Probleme habe?",synonym
"Was tue ich, wenn bei der Registrierung Schwierigkeiten auftreten?","Bitte überprüfe nochmals Deine Angaben. Achte dabei auf die korrekte Schreibweise, merke Dir die Groß- und Kleinbuchstaben!  Folgende Zeichen sind beim Passwort erlaubt: A-Z, a-z, 0-9 und @!?_#ACHTUNG: Die E-Mail-Adresse darf nur einmal verwendet werden!  Haben mehrere Einkaufsberechtigte die gleiche E-Mail-Adresse, dann muss der zweite, der sich registriert, eine andere E-Mail-Adresse eingeben! Gleiches gilt auch für den Benutzernamen, mit dem Du Dich registrierst!  Sollte die Registrierung dennoch nicht gelingen, wende Dich bitte über das Kontaktformular, per Mail oder telefonisch an unseren Kundensupport.","Wie kann ich helfen, wenn bei der Registrierung Schwierigkeiten auftreten?",synonym
Wie kann ich meine Adresse ändern?,"Die Sicherheit Ihrer Kundendaten liegt uns sehr am Herzen! Daher möchten wir Dich bitten, die Änderung Deiner Kundendaten auf einem dieser Wege durchzuführen:     Bei Deinem nächsten Einkauf im Stammhaus (oder gerne auch in jedem anderen METRO oder METRO GASTRO Markt) legt der Zeichnungsberechtigte die Kundenkarte am Eingang vor und nennt seine neuen Kundendaten.  Bitte bring, sofern Du eine Gewerbe-Ummeldung, einen aktualisierten Handelsregisterauszug oder ein sonstiges offizielles Dokument hast, dieses bitte als Nachweis mit. Anschließend benötigen wir nur noch eine Unterschrift und Deine Änderung ist aktiv.     Wünschst Du eine schnelle Änderung Deiner Kundendaten, kann uns der Zeichnungsberechtigte alternativ ein eingescanntes und unterschriebenes Dokument an kontakt@metro.de schicken. Bitte sende uns auch hier, sofern Du eine Gewerbe-Ummeldung hast, einen aktualisierten Handelsregisterauszug oder ein sonstiges offizielles Dokument, dieses bitte als Nachweis mit. Bitte vergiss dabei nicht, Deine Kundennummer und den Änderungswunsch mitzuteilen.","Wie gehe ich vor, wenn ich meine Adresse ändern möchte?",synonym
Wie kann ich meine Adresse ändern?,"Die Sicherheit Ihrer Kundendaten liegt uns sehr am Herzen! Daher möchten wir Dich bitten, die Änderung Deiner Kundendaten auf einem dieser Wege durchzuführen:     Bei Deinem nächsten Einkauf im Stammhaus (oder gerne auch in jedem anderen METRO oder METRO GASTRO Markt) legt der Zeichnungsberechtigte die Kundenkarte am Eingang vor und nennt seine neuen Kundendaten.  Bitte bring, sofern Du eine Gewerbe-Ummeldung, einen aktualisierten Handelsregisterauszug oder ein sonstiges offizielles Dokument hast, dieses bitte als Nachweis mit. Anschließend benötigen wir nur noch eine Unterschrift und Deine Änderung ist aktiv.     Wünschst Du eine schnelle Änderung Deiner Kundendaten, kann uns der Zeichnungsberechtigte alternativ ein eingescanntes und unterschriebenes Dokument an kontakt@metro.de schicken. Bitte sende uns auch hier, sofern Du eine Gewerbe-Ummeldung hast, einen aktualisierten Handelsregisterauszug oder ein sonstiges offizielles Dokument, dieses bitte als Nachweis mit. Bitte vergiss dabei nicht, Deine Kundennummer und den Änderungswunsch mitzuteilen.","Was muss ich tun, um meine Adresse zu ändern?",synonym
Das Produkt ist beschädigt oder von schlechter Qualität – was kann ich tun?,"Das tut uns leid!   Hast du das Produkt in unserem Onlineshop erworben, melde deine Reklamation bitte unter 0211 91194200 oder [hier]. Wenn du das Produkt in einem unserer Großmärkte erworben hast, rufe uns bitte unter 0211/17607090 an oder sende uns [hier] eine Nachricht mit genauer Problembeschreibung, deiner Rechnung und ggf. Fotos.   Gerne kannst du auch mit dem Produkt (außer Elektro-Großgeräte) direkt in den Großmarkt an den Kundeneingang kommen.","Was kann ich tun, wenn das Produkt beschädigt oder von schlechter Qualität ist?",synonym
Das Produkt ist beschädigt oder von schlechter Qualität – was kann ich tun?,"Das tut uns leid!   Hast du das Produkt in unserem Onlineshop erworben, melde deine Reklamation bitte unter 0211 91194200 oder [hier]. Wenn du das Produkt in einem unserer Großmärkte erworben hast, rufe uns bitte unter 0211/17607090 an oder sende uns [hier] eine Nachricht mit genauer Problembeschreibung, deiner Rechnung und ggf. Fotos.   Gerne kannst du auch mit dem Produkt (außer Elektro-Großgeräte) direkt in den Großmarkt an den Kundeneingang kommen.","Was passiert, wenn das Produkt beschädigt oder von schlechter Qualität ist – gibt es eine Lösung?",synonym
Welche Zahlungsarten werden in METRO Großmärkten akzeptiert?,Detaillierte Informationen zu allen Zahlungsarten findest Du hier: https://www.metro.de/bezahlmoeglichkeiten,Welche Zahlungsmethoden werden in METRO Großmärkten akzeptiert?,synonym
Welche Zahlungsarten werden in METRO Großmärkten akzeptiert?,Detaillierte Informationen zu allen Zahlungsarten findest Du hier: https://www.metro.de/bezahlmoeglichkeiten,Welche Zahlungsoptionen sind in METRO-Geschäften verfügbar?,synonym
Wie sind die Öffnungszeiten?,Die Öffnungszeiten unserer METRO Märkte findest Du hier.,Was sind die Öffnungszeiten?,synonym
Wie sind die Öffnungszeiten?,Die Öffnungszeiten unserer METRO Märkte findest Du hier.,Wie oft ist das Geschäft geöffnet?,synonym
Ich habe ein falsches Produkt erhalten – was jetzt?,"Wenn Du ein online bestelltes Produkt zurückgeben und eine Erstattung erhalten möchtest, findest Du alle Infos in unserer Rückgaberichtlinie.  Falls Du Lieferservicekunde bist, kannst du ein beanstandetes Produkt direkt bei Anlieferung dem Fahrer zurückgeben.","Was soll ich tun, wenn ich ein falsches Produkt erhalten habe?",synonym
Ich habe ein falsches Produkt erhalten – was jetzt?,"Wenn Du ein online bestelltes Produkt zurückgeben und eine Erstattung erhalten möchtest, findest Du alle Infos in unserer Rückgaberichtlinie.  Falls Du Lieferservicekunde bist, kannst du ein beanstandetes Produkt direkt bei Anlieferung dem Fahrer zurückgeben.",Ich habe ein falsches Produkt bekommen – wie gehe ich jetzt vor?,synonym
Warum wurde ich von Rufnummer 021117607096 oder 021117607097 angerufen?,"Wir haben versucht, Sie telefonisch zu kontaktieren. Dies hat in der Regel einen der folgenden Gründe:   Es gab einen Produktrückruf zu einem von Ihnen oder einem Ihrer Einkaufsberechtigten erworbenen Artikel.  Die Werbung (oder Newsletter) konnte nicht zugestellt werden und wir wollten Ihre neue Adresse in Erfahrung bringen, um Ihnen unsere gewohnten Angebote zukommen zulassen.  Wir wollten Sie nach Ihrem letzten Einkauf befragen, ob alles in Ordnung war.  Wir hatten ein attraktives Angebot für Sie, das wir Ihnen vorstellen wollten.   Wir versuchen Sie in der Regel mehrfach zu erreichen. Bitte haben Sie ein wenig Geduld, bis einer unserer Mitarbeiter sich erneut bei Ihnen meldet. Wenn Sie bereits jetzt eine Frage haben, können Sie sich jederzeit melden: zum Kontaktformular.  Sollten Sie nicht mehr angerufen oder kontaktiert werden wollen, können Sie uns das gerne im Gespräch mitteilen oder über unser Kontaktformular. Wir kommen Ihrer Bitte selbstverständlich nach. Bitte beachten Sie, dass wir Sie bei einem Produktrückruf dennoch telefonisch kontaktieren müssen, da wir hier unserer gesetzlichen Informationspflicht nachkommen müssen.",Wer hat mich unter der Rufnummer 021117607096 oder 021117607097 angerufen?,synonym
Warum wurde ich von Rufnummer 021117607096 oder 021117607097 angerufen?,"Wir haben versucht, Sie telefonisch zu kontaktieren. Dies hat in der Regel einen der folgenden Gründe:   Es gab einen Produktrückruf zu einem von Ihnen oder einem Ihrer Einkaufsberechtigten erworbenen Artikel.  Die Werbung (oder Newsletter) konnte nicht zugestellt werden und wir wollten Ihre neue Adresse in Erfahrung bringen, um Ihnen unsere gewohnten Angebote zukommen zulassen.  Wir wollten Sie nach Ihrem letzten Einkauf befragen, ob alles in Ordnung war.  Wir hatten ein attraktives Angebot für Sie, das wir Ihnen vorstellen wollten.   Wir versuchen Sie in der Regel mehrfach zu erreichen. Bitte haben Sie ein wenig Geduld, bis einer unserer Mitarbeiter sich erneut bei Ihnen meldet. Wenn Sie bereits jetzt eine Frage haben, können Sie sich jederzeit melden: zum Kontaktformular.  Sollten Sie nicht mehr angerufen oder kontaktiert werden wollen, können Sie uns das gerne im Gespräch mitteilen oder über unser Kontaktformular. Wir kommen Ihrer Bitte selbstverständlich nach. Bitte beachten Sie, dass wir Sie bei einem Produktrückruf dennoch telefonisch kontaktieren müssen, da wir hier unserer gesetzlichen Informationspflicht nachkommen müssen.",Warum wurde ich von der Rufnummer 021117607096 oder 021117607097 kontaktiert?,synonym
